column_compare,statistic-u-test,p-value-u-test,significance-level-u-test,statistic-ks-test,p-value-ks-test,significance-level-ks-test,statistic-t-test,p-value-t-test,significance-level-t-test
Variant_2,4265.0,0.07134070567174129,NS,0.2,0.03638428787491733,*,-2.668147280408387,0.008322074765517856,**
Variant_3,3569.0,0.00046210029296941295,***,0.22,0.015577131622877688,*,-3.479111578463059,0.0006186523867406892,***
Variant_4,3884.0,0.006206031215983937,**,0.19,0.05390207893129876,NS,-2.728683910688682,0.006934094789001675,**
Variant_5,3816.0,0.003654268306183833,**,0.2,0.03638428787491733,*,-2.795882900807094,0.005692106555156345,**
