column_compare,statistic-u-test,p-value-u-test,significance-level-u-test,statistic-ks-test,p-value-ks-test,significance-level-ks-test,statistic-t-test,p-value-t-test,significance-level-t-test
Variant_2,4150.0,0.037495477483072207,*,0.2,0.03638428787491733,*,-2.7452724110440117,0.006655180184655982,**
Variant_3,3671.0,0.001141474731507469,**,0.25,0.0037294923618311367,**,-3.410501087106805,0.0007895495999155746,***
Variant_4,3679.5,0.0012296221385991986,**,0.22,0.015577131622877688,*,-3.5785653351786593,0.00043830896169247125,***
Variant_5,3575.0,0.0004702012178601896,***,0.22,0.015577131622877688,*,-3.488658424015432,0.0005988871417733908,***
