column_compare,statistic-u-test,p-value-u-test,significance-level-u-test,statistic-ks-test,p-value-ks-test,significance-level-ks-test,statistic-t-test,p-value-t-test,significance-level-t-test
Variant_2,4984.5,0.9694845489298195,NS,0.01,1.0,NS,-0.06107666570928007,0.9513597641209722,NS
Variant_3,4137.5,0.030897821629842767,*,0.15,0.21117008625127576,NS,-2.3729046124725217,0.018645281528100233,*
Variant_4,3637.0,0.0006290365867650099,***,0.21,0.024055802841094577,*,-3.589300946219609,0.00041938430682477655,***
Variant_5,3346.5,4.5710414047438006e-05,****,0.22,0.015577131622877688,*,-4.351246321625168,2.182589456041593e-05,****
