column_compare,statistic-u-test,p-value-u-test,significance-level-u-test,statistic-ks-test,p-value-ks-test,significance-level-ks-test,statistic-t-test,p-value-t-test,significance-level-t-test
Variant_2,4799.0,0.6171840963021212,NS,0.07,0.9684099261397212,NS,-1.2848488369663336,0.20049996645117749,NS
Variant_3,3422.5,0.00011085450261041351,***,0.27,0.0012935059781377376,**,-4.489356065716928,1.2821707016903597e-05,****
Variant_4,3634.5,0.0007987322961003544,***,0.22,0.015577131622877688,*,-3.6497873258950104,0.000340364255147947,***
Variant_5,3273.5,2.2242708220651783e-05,****,0.28,0.0007377026282063397,***,-4.339037812307692,2.3200524390400485e-05,****
