column_compare,statistic-u-test,p-value-u-test,significance-level-u-test,statistic-ks-test,p-value-ks-test,significance-level-ks-test,statistic-t-test,p-value-t-test,significance-level-t-test
Variant_2,4805.5,0.630882188521883,NS,0.08,0.9084105017744525,NS,-1.590239229603028,0.11378345325563045,NS
Variant_3,3706.5,0.0013951690502658647,**,0.24,0.0061340334218580265,**,-3.9026969209762443,0.00014617907744817233,***
Variant_4,3341.5,4.4445320270238016e-05,****,0.29,0.0004117410017938115,***,-5.0728065869234005,1.1599370156878748e-06,****
Variant_5,3730.5,0.0017948029504168501,**,0.22,0.015577131622877688,*,-3.259261043096459,0.0013259098767048198,**
