column_compare,statistic-u-test,p-value-u-test,significance-level-u-test,statistic-ks-test,p-value-ks-test,significance-level-ks-test,statistic-t-test,p-value-t-test,significance-level-t-test
Variant_2,4946.0,0.8914844937577877,NS,0.01,1.0,NS,-0.16911221357422201,0.8658810892366051,NS
Variant_3,4069.5,0.01796530758985878,*,0.17,0.11119526053829192,NS,-3.0151593563795465,0.002981120642621097,**
Variant_4,3415.0,7.63804448004912e-05,****,0.23,0.009878183186176536,**,-4.259110912565394,3.202391309870459e-05,****
Variant_5,3792.0,0.0028429076713242427,**,0.17,0.11119526053829192,NS,-3.149828335038965,0.0018878942845574646,**
