column_compare,statistic-u-test,p-value-u-test,significance-level-u-test,statistic-ks-test,p-value-ks-test,significance-level-ks-test,statistic-t-test,p-value-t-test,significance-level-t-test
Variant_2,4664.0,0.40675848052684405,NS,0.08,0.9084105017744525,NS,-1.6416164139767924,0.1024484300907331,NS
Variant_3,3576.0,0.000458679071792899,***,0.24,0.0061340334218580265,**,-4.148358384300388,5.292616030138931e-05,****
Variant_4,3532.0,0.00029404770261794145,***,0.25,0.0037294923618311367,**,-4.309552205935112,2.7791290947810503e-05,****
Variant_5,3369.0,5.4977517154762094e-05,****,0.24,0.0061340334218580265,**,-4.001403533903117,8.954707027402267e-05,****
