p-value (K25),sig. level (K25),p-value (K50),sig. level(K50),p-value (K100),sig. level(K100)
0.0363842878749173,*,0.908410501774452,NS,1,NS
0.00372949236183114,**,0.00613403342185803,**,0.111195260538292,NS
0.0155771316228777,*,0.000411741001793811,***,0.00987818318617654,**
0.0155771316228777,*,0.0155771316228777,*,0.111195260538292,NS
0.0363842878749173,*,0.968409926139721,NS,1,NS
0.0155771316228777,*,0.00129350597813774,**,0.0363842878749173,*
0.0539020789312988,NS,0.0155771316228777,*,0.0155771316228777,*
0.0363842878749173,*,0.00073770262820634,***,0.00221993593455837,**
0.469506448503778,NS,0.908410501774452,NS,1,NS
0.0782211579784185,NS,0.00613403342185803,**,0.211170086251276,NS
0.0155771316228777,*,0.00372949236183114,**,0.0240558028410946,*
0.154838666511847,NS,0.00613403342185803,**,0.00221993593455837,**
0.469506448503778,NS,0.908410501774452,NS,1,NS
0.0782211579784185,NS,0.00613403342185803,**,0.211170086251276,NS
0.0155771316228777,*,0.00372949236183114,**,0.0240558028410946,*
0.0155771316228777,*,0.00372949236183114,**,0.0155771316228777,*
