column_compare,statistic-u-test,p-value-u-test,significance-level-u-test,statistic-ks-test,p-value-ks-test,significance-level-ks-test,statistic-t-test,p-value-t-test,significance-level-t-test
Variant_2,4941.5,0.8787706838207745,NS,0.01,1.0,NS,-0.16470277380523413,0.8693460017786425,NS
Variant_3,3754.5,0.0020476348451246027,**,0.2,0.03638428787491733,*,-3.8218805250478916,0.00018484677780809496,***
Variant_4,3552.0,0.0003435197605297958,***,0.22,0.015577131622877688,*,-3.8839064014644373,0.00014123144812179658,***
Variant_5,3430.0,0.00010590994076110498,***,0.26,0.002219935934558366,**,-3.9079270320347095,0.00012867645919388128,***
