column_compare,statistic-u-test,p-value-u-test,significance-level-u-test,statistic-ks-test,p-value-ks-test,significance-level-ks-test,statistic-t-test,p-value-t-test,significance-level-t-test
Variant_2,4449.0,0.1772286715306467,NS,0.12,0.469506448503778,NS,-1.566650998476725,0.11881978967024569,NS
Variant_3,3892.5,0.006697066679351689,**,0.18,0.07822115797841851,NS,-2.7794746748887036,0.00597432095144113,**
Variant_4,3741.5,0.0020440737541309963,**,0.22,0.015577131622877688,*,-3.392257154599908,0.000845922820818082,***
Variant_5,3618.5,0.0007021583811906344,***,0.22,0.015577131622877688,*,-3.4784505952162053,0.0006215109013500608,***
